trader,realized_pnl,unrealized_pnl,net_pnl,tokens_traded
HatspTdekBuHBmF3x3jCJpAQEmEBULBqkJeVehwGHF9c,0.0,-535.1960541041796,-535.1960541041796,2
5HC7KRiDMwiTrVNUxBJjrkbPoALHpKgh9prXi4V33pgX,32.407107636198106,-920.8073069736442,-888.4001993374461,4
UcfupNNmkddVyYe6FKVKioLA4wyP9ohitFo7oExrheD,0.0,-214.01345600000002,-214.01345600000002,1
ED2i2D5cC4D7gu5xjKMY53Gp292ukmfcV2HrFLoLZG6M,0.0,-52.2235148348138,-52.2235148348138,1
J4Bjj43ELZH9i5eptVgAxcMcGswvLjpF7aMt7DXAQ6so,115.88756210423298,81.21415710146906,197.10171920570204,3
A3z3QE4jT1FDFy7kGgnxUi59Qh2WaCoonK4mfSuur2rD,0.0,-615.2426384027978,-615.2426384027978,4
8vDWmfkXg9dWQCgMFrt6rhc9YG3AxtyiV6KTTJ6r673h,0.0,-259.20939066935034,-259.20939066935034,2
Duy2DBNJf567fpzLQq4wxB2UoEXXM7gx2xEHKWRaEcHp,572.829730509215,8770.361281133939,9343.191011643154,9
6EzQM3oHrfhXwxAoedPv2e6n19dEMfDbLNfn3kggrKiY,26.207592510337236,-985.2295883717263,-959.0219958613891,8
A7GanfbAnk5YvPjrwZ9upLgxh4yFvzU9ys9ffDBVMLvL,0.0,-42.82996708280111,-42.82996708280111,1
2woL1PLSSdK8ohgKkzNYejSovQfceWsGy76H4KfvvntC,0.0,71.13696010918831,71.13696010918831,1
6KygfthmT8ZTPZdeL2vpNdmwv3R2MTz9Pqnx53f12Dvj,-40.06298156761602,0.0,-40.06298156761602,1
3p8YzvQqVtuD5fJweVSc7qnRWx7KowdX8i3NKS1yQemS,0.0,-262.93420673621415,-262.93420673621415,1
BQ3gPegBpSZf1byb4qmzfVspcgTmYtvKU9bufDdGQa4Q,386.45972523757143,-4057.540098930099,-3671.0803736925272,32
9pjwAxnPjKc1Dbnj3379jUQcrQDgV7RNz6uM9kLyYTT9,0.0,-126.5808780475077,-126.5808780475077,1
9Z1SuSENsovg2s4Z3EVbweqnXCh9x4mCTQSRRhusJkE7,-7.939519573439526,-222.5720472937636,-230.51156686720313,3
58b11cmcBskNcqKT4UkEMLsm6LE4MU8HPUWkNNQFS2jV,-466.40985189146386,-1472.3019922415097,-1938.7118441329735,7
KS9BeDkHBeLCSwn3fSpUYRbgbnAA5mdaTs3qQ3ro5XD,0.0,-326.12052616056627,-326.12052616056627,1
36e6pRaCnafcehzThkH8tZzzMLzhyp2pY2vgGukhjvC1,-330.86294880794253,-313.1765000359819,-644.0394488439244,4
DdyCDoLxNJ1Np27CPZq57xERGeF8jR2StGemE6RRsRtH,-45.01663326188907,112.00872307141117,66.9920898095221,16
