trader,tokens_closed,gross_proceeds_usd,cost_of_sales_usd,realized_pnl
EDoANBDUovpR3wLztwkJc5GCJab5KkEaqzRG8AUs3F1N,1,128.25,179.1,-50.85
AXKbiV7tkBwTZuDSTw2uftLTXboZeDb3umy2D3iB6go4,1,196.76,190.8,5.96
DENp1zSZpbKmSfauV4Zq6CuUZ8qp6RJd4hMgpMuNCL7v,2,353.65,493.4,-139.75
7LA6sPo4MFxzB4nEaXhwYcXBAQNMeoZfeKuoHJtKgR3F,1,146.38,127.66,18.72
A4hmVKtLcEm6RjyZe2grYCnRsw7xEyGLYbThVEt5Ff1v,1,186.99,196.67,-9.68
CMWnXmtdmtttMMNu9YrzPfuEauS8sF9RomA1dkrvzdJq,7,1460.7,1346.35,114.35
CdjbKwkcebjNTjTVgN3nESnu8Kdks3vF4MriV4RYYVoy,1,934.64,1417.73,-483.09
H5JnKKAydF8FaZxMiqTfc4EMv3NQ1Kze27t8THmTMixg,1,295.17,236.65,58.51
1oDSCQkTs3oQvU5PehYdwhScEqDU7gZWEHtC1h5QTnL,3,879.63,734.45,145.18
HeKVi3by7k8FkPVMBDrdcKuHUBB867qs5dbqAPrkb6K3,51,23231.05,22970.17,260.88
3aw9zQFAdd8YpQB653n7Ri296MwRtnQahGqJynxWZh4P,1,62.45,102.03,-39.57
4R7fJgzaUDWnsNP3qbTox5T1xs5TVhNqneNW42fVgL5U,1,335.62,340.58,-4.96
FXwzccB5SEqEcyCmifySPkUci1NcPp1nKwHsAcST9f82,3,4299.33,4509.04,-209.71
4G1zNsUZcDRMUue4RiM6M7KrLHWTNT4VsnLTa9wDNSWm,19,11300.83,12179.12,-878.29
6DPnSAtZVsPaf6MjDMnKqtndD6h9bp5FvF7qnce6FDGc,5,1217.81,1183.54,34.27
4cYtetDZc76bByYPQMhL85WBuY7WXLgqcUdDSZEkge6s,1,488.22,540.19,-51.97
7t78KEPHMhmfDkhENumFoWSdsXizoW78ou4vWwLKqoHC,1,371.73,332.29,39.44
HRBLSDv9gkzzMh1m8yWygqKqADSsP87YsKunoVMPULqU,2,1687.94,1735.16,-47.22
Kz6gKYigpc8K4dwcUWndEBi228wjkqcARJEiUQ9BDSq,5,4509.12,5065.63,-556.51
9a9QL817dHz9FGAR1xwjSZ2Dz2yADLdnory7RxVr7wN8,1,296.39,303.88,-7.48
BiQ7j6xNiQZrprra9ZF6CuWzsDVJF4ye8K7SfgTcKqCU,1,2.42,8.21,-5.79
EfR3vWnYhoWLWHKH7kmE9psHfYGzfkopSNJACP5rDsnj,2,1706.31,950.0,756.31
4QSTvEXtqB8RWq6tr6BwJQ7fXQEodF5sPC4RxCL6KHFt,3,18319.16,14019.44,4299.72
3RdtbSedzQVwLY1pfKaztRERpe1YZcXdLUsvXrmMSyEk,4,14355.79,15507.54,-1151.75
5z4KGHUNt9dZuAW7cBPU7PaYqideMJFeEGb4tkhsKzgc,1,212.56,201.19,11.37
erHVT5KL9tHnhiG6KohZJGA8u2kDDVPPvVVMuyhin2f,1,54.07,95.61,-41.54
